gta06_hhld,age,population,income
5010,75,8,1
5030,70,24,1
5032,10,40,1
5032,13,40,1
5032,38,40,1
5032,44,40,1
5032,56,45,1
5041,28,61,1
5041,85,53,1
5045,75,24,1
5047,79,7,1
5047,83,7,1
5050,3,66,1
5050,8,17,1
5050,33,66,1
5050,35,17,1
5050,47,17,1
5051,1,96,1
5051,4,109,1
5051,5,96,1
5051,7,96,1
5051,31,109,1
5051,32,96,1
5051,34,96,1
5054,20,35,1
5054,21,35,1
5054,53,35,1
5054,56,35,1
5057,5,67,1
5057,13,67,1
5057,15,67,1
5057,16,67,1
5057,19,67,1
5057,40,67,1
5057,54,70,1
5057,88,7,1
5058,80,20,1
5059,88,24,1
5063,45,93,1
5063,65,47,1
5066,17,29,1
5066,21,29,1
5066,44,29,1
5068,54,52,1
5068,73,27,1
5069,82,18,1
5069,84,18,1
5071,89,15,1
5074,50,49,1
5074,51,49,1
5082,29,34,1
5082,45,51,1
5082,58,34,1
5082,89,25,1
5084,12,19,1
5084,13,19,1
5084,22,19,1
5084,46,19,1
5086,58,17,1
5086,66,40,1
5086,78,17,1
5087,72,57,1
5089,85,23,1
5089,86,23,1
5092,32,209,1
5092,76,24,1
5092,82,24,1
5093,52,27,1
5093,54,34,1
5093,63,20,1
5093,71,13,1
5093,80,13,1
5095,69,16,1
5095,71,16,1
5095,73,16,1
5095,74,16,1
5095,75,20,1
5095,78,20,1
5095,83,20,1
5095,85,20,1
5095,86,20,1
5097,9,49,1
5097,11,49,1
5097,36,49,1
5097,47,70,1
5097,48,49,1
5097,65,27,1
5097,68,27,1
5098,5,123,1
5098,11,123,1
5098,12,123,1
5098,34,123,1
5099,62,17,1
5099,65,17,1
5099,83,10,1
5100,26,39,1
5100,27,39,1
5100,65,39,1
5100,78,18,1
5102,67,23,1
5104,7,22,1
5104,8,35,1
5104,18,51,1
5104,19,51,1
5104,27,22,1
5104,39,35,1
5104,43,51,1
5104,45,8,1
5104,50,8,1
5104,56,22,1
5104,58,8,1
5107,56,25,1
5107,61,29,1
5107,82,27,1
5110,67,23,1
5110,69,23,1
5110,72,23,1
5110,74,23,1
5110,78,21,1
5110,82,21,1
5110,88,21,1
5110,89,13,1
5111,7,30,1
