Tue Apr 20 2021 10:37:59 GMT-0400 (Eastern Daylight Time) - Run Time: 1321ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age
Table: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 6, 

Persons 2016
ROW : gta06_hhld
COLUMN : age

TABLE    : income ($0 to $14999)

  gta06_hhld         age      total
        5010          75          8
        5030          70         24
        5032          10         40
        5032          13         40
        5032          38         40
        5032          44         40
        5032          56         45
        5041          28         61
        5041          85         53
        5045          75         24
        5047          79          7
        5047          83          7
        5050           3         66
        5050           8         17
        5050          33         66
        5050          35         17
        5050          47         17
        5051           1         96
        5051           4        109
        5051           5         96
        5051           7         96
        5051          31        109
        5051          32         96
        5051          34         96
        5054          20         35
        5054          21         35
        5054          53         35
        5054          56         35
        5057           5         67
        5057          13         67
        5057          15         67
        5057          16         67
        5057          19         67
        5057          40         67
        5057          54         70
        5057          88          7
        5058          80         20
        5059          88         24
        5063          45         93
        5063          65         47
        5066          17         29
        5066          21         29
        5066          44         29
        5068          54         52
        5068          73         27
        5069          82         18
        5069          84         18
        5071          89         15
        5074          50         49
        5074          51         49
        5082          29         34
        5082          45         51
        5082          58         34
        5082          89         25
        5084          12         19
        5084          13         19
        5084          22         19
        5084          46         19
        5086          58         17
        5086          66         40
        5086          78         17
        5087          72         57
        5089          85         23
        5089          86         23
        5092          32        209
        5092          76         24
        5092          82         24
        5093          52         27
        5093          54         34
        5093          63         20
        5093          71         13
        5093          80         13
        5095          69         16
        5095          71         16
        5095          73         16
        5095          74         16
        5095          75         20
        5095          78         20
        5095          83         20
        5095          85         20
        5095          86         20
        5097           9         49
        5097          11         49
        5097          36         49
        5097          47         70
        5097          48         49
        5097          65         27
        5097          68         27
        5098           5        123
        5098          11        123
        5098          12        123
        5098          34        123
        5099          62         17
        5099          65         17
        5099          83         10
        5100          26         39
        5100          27         39
        5100          65         39
        5100          78         18
        5102          67         23
        5104           7         22
        5104           8         35
        5104          18         51
        5104          19         51
        5104          27         22
        5104          39         35
        5104          43         51
        5104          45          8
        5104          50          8
        5104          56         22
        5104          58          8
        5107          56         25
        5107          61         29
        5107          82         27
        5110          67         23
        5110          69         23
        5110          72         23
        5110          74         23
        5110          78         21
        5110          82         21
        5110          88         21
        5110          89         13
        5111           7         30
        5111          21         30
        5111          26         65
        5111          49         30
        5111          68         16
        5111          77         16
        5111          91         26
        5113          59         65
        5115          64         31
        5115          65         31
        5117          80         19
