gta06_hhld,income,total,Mode
5007,2,15,Transit (Excluding GO rail)
5012,7,62,Transit (Excluding GO rail)
5020,6,20,Transit (Excluding GO rail)
5032,3,149,Transit (Excluding GO rail)
5032,5,149,Transit (Excluding GO rail)
5040,6,87,Transit (Excluding GO rail)
5041,7,30,Transit (Excluding GO rail)
5044,6,185,Transit (Excluding GO rail)
5044,7,85,Transit (Excluding GO rail)
5045,2,85,Transit (Excluding GO rail)
5045,6,25,Transit (Excluding GO rail)
5046,2,383,Transit (Excluding GO rail)
5046,4,221,Transit (Excluding GO rail)
5046,5,142,Transit (Excluding GO rail)
5046,7,135,Transit (Excluding GO rail)
5047,6,126,Transit (Excluding GO rail)
5050,2,142,Transit (Excluding GO rail)
5050,3,140,Transit (Excluding GO rail)
5050,4,174,Transit (Excluding GO rail)
5050,6,79,Transit (Excluding GO rail)
5050,7,451,Transit (Excluding GO rail)
5051,2,144,Transit (Excluding GO rail)
5051,6,101,Transit (Excluding GO rail)
5051,7,99,Transit (Excluding GO rail)
5052,3,44,Transit (Excluding GO rail)
5052,7,274,Transit (Excluding GO rail)
5053,4,64,Transit (Excluding GO rail)
5053,5,69,Transit (Excluding GO rail)
5054,6,128,Transit (Excluding GO rail)
5056,2,82,Transit (Excluding GO rail)
5056,4,321,Transit (Excluding GO rail)
5056,7,92,Transit (Excluding GO rail)
5057,1,266,Transit (Excluding GO rail)
5057,2,125,Transit (Excluding GO rail)
5057,3,193,Transit (Excluding GO rail)
5057,4,46,Transit (Excluding GO rail)
5057,5,44,Transit (Excluding GO rail)
5058,3,41,Transit (Excluding GO rail)
5058,5,37,Transit (Excluding GO rail)
5059,4,224,Transit (Excluding GO rail)
5059,7,31,Transit (Excluding GO rail)
5060,2,122,Transit (Excluding GO rail)
5061,6,73,Transit (Excluding GO rail)
5063,4,39,Transit (Excluding GO rail)
5063,7,340,Transit (Excluding GO rail)
5066,1,29,Transit (Excluding GO rail)
5066,2,187,Transit (Excluding GO rail)
5066,3,143,Transit (Excluding GO rail)
5066,4,135,Transit (Excluding GO rail)
5066,5,259,Transit (Excluding GO rail)
5066,6,113,Transit (Excluding GO rail)
5067,4,53,Transit (Excluding GO rail)
5068,2,163,Transit (Excluding GO rail)
5068,5,109,Transit (Excluding GO rail)
5068,6,148,Transit (Excluding GO rail)
5068,7,132,Transit (Excluding GO rail)
5069,2,302,Transit (Excluding GO rail)
5069,3,247,Transit (Excluding GO rail)
5069,4,50,Transit (Excluding GO rail)
5069,7,30,Transit (Excluding GO rail)
5071,4,129,Transit (Excluding GO rail)
5071,6,70,Transit (Excluding GO rail)
5071,7,25,Transit (Excluding GO rail)
5073,6,31,Transit (Excluding GO rail)
5074,2,122,Transit (Excluding GO rail)
5074,3,73,Transit (Excluding GO rail)
5074,4,103,Transit (Excluding GO rail)
5074,5,53,Transit (Excluding GO rail)
5074,7,51,Transit (Excluding GO rail)
5075,2,91,Transit (Excluding GO rail)
5075,3,153,Transit (Excluding GO rail)
5075,4,238,Transit (Excluding GO rail)
5075,5,360,Transit (Excluding GO rail)
5076,6,19,Transit (Excluding GO rail)
5077,5,28,Transit (Excluding GO rail)
5077,6,54,Transit (Excluding GO rail)
5079,4,76,Transit (Excluding GO rail)
5080,4,41,Transit (Excluding GO rail)
5081,7,95,Transit (Excluding GO rail)
5082,1,154,Transit (Excluding GO rail)
5082,2,295,Transit (Excluding GO rail)
5082,4,210,Transit (Excluding GO rail)
5082,5,65,Transit (Excluding GO rail)
5082,6,67,Transit (Excluding GO rail)
5082,7,144,Transit (Excluding GO rail)
5084,1,75,Transit (Excluding GO rail)
5084,3,88,Transit (Excluding GO rail)
5084,4,141,Transit (Excluding GO rail)
5084,5,175,Transit (Excluding GO rail)
5084,6,294,Transit (Excluding GO rail)
5086,3,106,Transit (Excluding GO rail)
5086,4,45,Transit (Excluding GO rail)
5086,7,63,Transit (Excluding GO rail)
5087,1,114,Transit (Excluding GO rail)
5087,5,56,Transit (Excluding GO rail)
5089,2,73,Transit (Excluding GO rail)
5089,3,141,Transit (Excluding GO rail)
5090,3,20,Transit (Excluding GO rail)
5090,6,146,Transit (Excluding GO rail)
5091,2,181,Transit (Excluding GO rail)
5091,6,214,Transit (Excluding GO rail)
5091,7,52,Transit (Excluding GO rail)
5092,1,49,Transit (Excluding GO rail)
5092,3,74,Transit (Excluding GO rail)
5092,4,33,Transit (Excluding GO rail)
5092,6,96,Transit (Excluding GO rail)
5093,1,54,Transit (Excluding GO rail)
5093,2,12,Transit (Excluding GO rail)
5093,5,25,Transit (Excluding GO rail)
5094,2,53,Transit (Excluding GO rail)
5094,4,59,Transit (Excluding GO rail)
5094,6,339,Transit (Excluding GO rail)
5095,1,111,Transit (Excluding GO rail)
5095,2,628,Transit (Excluding GO rail)
5095,3,309,Transit (Excluding GO rail)
5095,4,18,Transit (Excluding GO rail)
5096,4,41,Transit (Excluding GO rail)
5096,5,102,Transit (Excluding GO rail)
5096,6,48,Transit (Excluding GO rail)
5097,1,259,Transit (Excluding GO rail)
5097,3,140,Transit (Excluding GO rail)
5098,2,349,Transit (Excluding GO rail)
5098,5,194,Transit (Excluding GO rail)
5098,6,53,Transit (Excluding GO rail)
5099,2,51,Transit (Excluding GO rail)
5099,7,143,Transit (Excluding GO rail)
5100,3,29,Transit (Excluding GO rail)
5100,5,130,Transit (Excluding GO rail)
5101,3,163,Transit (Excluding GO rail)
5101,4,155,Transit (Excluding GO rail)
5101,7,88,Transit (Excluding GO rail)
5102,4,209,Transit (Excluding GO rail)
5104,1,425,Transit (Excluding GO rail)
5104,2,186,Transit (Excluding GO rail)
5104,3,96,Transit (Excluding GO rail)
5104,4,283,Transit (Excluding GO rail)
5104,7,95,Transit (Excluding GO rail)
5106,2,94,Transit (Excluding GO rail)
5106,3,108,Transit (Excluding GO rail)
5106,7,63,Transit (Excluding GO rail)
5109,7,56,Transit (Excluding GO rail)
5110,1,45,Transit (Excluding GO rail)
5110,5,108,Transit (Excluding GO rail)
5110,6,22,Transit (Excluding GO rail)
5110,7,66,Transit (Excluding GO rail)
5111,2,241,Transit (Excluding GO rail)
5111,4,34,Transit (Excluding GO rail)
5111,5,42,Transit (Excluding GO rail)
5111,7,41,Transit (Excluding GO rail)
5115,2,70,Transit (Excluding GO rail)
5115,3,167,Transit (Excluding GO rail)
5115,7,54,Transit (Excluding GO rail)
5116,2,50,Transit (Excluding GO rail)
5116,3,165,Transit (Excluding GO rail)
5116,7,628,Transit (Excluding GO rail)
5117,3,65,Transit (Excluding GO rail)
5117,7,82,Transit (Excluding GO rail)
5118,2,287,Transit (Excluding GO rail)
5118,4,59,Transit (Excluding GO rail)
5120,2,39,Transit (Excluding GO rail)
5120,7,183,Transit (Excluding GO rail)
5121,2,110,Transit (Excluding GO rail)
5121,3,83,Transit (Excluding GO rail)
5123,1,162,Transit (Excluding GO rail)
5123,2,122,Transit (Excluding GO rail)
5123,3,134,Transit (Excluding GO rail)
5123,4,206,Transit (Excluding GO rail)
5123,7,126,Transit (Excluding GO rail)
5125,2,52,Transit (Excluding GO rail)
5126,3,144,Transit (Excluding GO rail)
5127,1,49,Transit (Excluding GO rail)
5127,2,631,Transit (Excluding GO rail)
5127,3,71,Transit (Excluding GO rail)
5127,4,199,Transit (Excluding GO rail)
5127,7,40,Transit (Excluding GO rail)
5129,1,221,Transit (Excluding GO rail)
5129,6,38,Transit (Excluding GO rail)
5130,2,501,Transit (Excluding GO rail)
5130,3,72,Transit (Excluding GO rail)
5130,4,94,Transit (Excluding GO rail)
5131,1,50,Transit (Excluding GO rail)
5131,2,92,Transit (Excluding GO rail)
5131,3,169,Transit (Excluding GO rail)
5131,4,30,Transit (Excluding GO rail)
5131,7,205,Transit (Excluding GO rail)
5132,2,133,Transit (Excluding GO rail)
5132,7,390,Transit (Excluding GO rail)
5133,2,292,Transit (Excluding GO rail)
5133,3,153,Transit (Excluding GO rail)
5133,4,161,Transit (Excluding GO rail)
5135,1,31,Transit (Excluding GO rail)
5135,2,22,Transit (Excluding GO rail)
5135,3,130,Transit (Excluding GO rail)
5135,4,428,Transit (Excluding GO rail)
5137,5,176,Transit (Excluding GO rail)
5139,1,30,Transit (Excluding GO rail)
5139,2,330,Transit (Excluding GO rail)
5139,3,89,Transit (Excluding GO rail)
5139,4,221,Transit (Excluding GO rail)
5139,5,725,Transit (Excluding GO rail)
5139,6,88,Transit (Excluding GO rail)
5140,2,60,Transit (Excluding GO rail)
5140,3,21,Transit (Excluding GO rail)
5140,4,21,Transit (Excluding GO rail)
5140,5,53,Transit (Excluding GO rail)
5141,1,7,Transit (Excluding GO rail)
5141,2,82,Transit (Excluding GO rail)
5141,5,261,Transit (Excluding GO rail)
5141,6,166,Transit (Excluding GO rail)
5143,2,67,Transit (Excluding GO rail)
5143,4,91,Transit (Excluding GO rail)
5144,2,192,Transit (Excluding GO rail)
5144,3,257,Transit (Excluding GO rail)
5144,4,265,Transit (Excluding GO rail)
5144,6,44,Transit (Excluding GO rail)
5144,7,286,Transit (Excluding GO rail)
5148,1,218,Transit (Excluding GO rail)
5148,2,975,Transit (Excluding GO rail)
5148,3,1105,Transit (Excluding GO rail)
5148,4,53,Transit (Excluding GO rail)
5148,5,240,Transit (Excluding GO rail)
5148,7,373,Transit (Excluding GO rail)
5149,1,174,Transit (Excluding GO rail)
5149,3,219,Transit (Excluding GO rail)
5150,1,333,Transit (Excluding GO rail)
5150,2,864,Transit (Excluding GO rail)
5150,3,148,Transit (Excluding GO rail)
5150,4,146,Transit (Excluding GO rail)
5150,5,155,Transit (Excluding GO rail)
5151,2,188,Transit (Excluding GO rail)
5151,3,197,Transit (Excluding GO rail)
5151,4,276,Transit (Excluding GO rail)
5151,7,29,Transit (Excluding GO rail)
5154,4,135,Transit (Excluding GO rail)
5154,5,177,Transit (Excluding GO rail)
5155,2,308,Transit (Excluding GO rail)
5155,4,160,Transit (Excluding GO rail)
5155,6,120,Transit (Excluding GO rail)
5156,2,92,Transit (Excluding GO rail)
5156,7,18,Transit (Excluding GO rail)
5157,1,65,Transit (Excluding GO rail)
5157,2,587,Transit (Excluding GO rail)
5157,4,73,Transit (Excluding GO rail)
5157,5,166,Transit (Excluding GO rail)
5158,2,48,Transit (Excluding GO rail)
5158,4,292,Transit (Excluding GO rail)
5158,5,68,Transit (Excluding GO rail)
5158,6,201,Transit (Excluding GO rail)
5159,1,150,Transit (Excluding GO rail)
5159,2,302,Transit (Excluding GO rail)
5159,3,198,Transit (Excluding GO rail)
5159,4,100,Transit (Excluding GO rail)
5159,5,34,Transit (Excluding GO rail)
5161,3,58,Transit (Excluding GO rail)
5161,4,268,Transit (Excluding GO rail)
5161,7,165,Transit (Excluding GO rail)
5162,2,56,Transit (Excluding GO rail)
5163,1,287,Transit (Excluding GO rail)
5163,2,48,Transit (Excluding GO rail)
5163,3,96,Transit (Excluding GO rail)
5163,6,116,Transit (Excluding GO rail)
5164,1,476,Transit (Excluding GO rail)
5164,2,1037,Transit (Excluding GO rail)
5164,3,10,Transit (Excluding GO rail)
5164,4,75,Transit (Excluding GO rail)
5164,5,187,Transit (Excluding GO rail)
5164,6,16,Transit (Excluding GO rail)
5164,7,117,Transit (Excluding GO rail)
5165,1,180,Transit (Excluding GO rail)
5165,2,28,Transit (Excluding GO rail)
5165,3,43,Transit (Excluding GO rail)
5165,7,81,Transit (Excluding GO rail)
5166,1,824,Transit (Excluding GO rail)
5166,2,1315,Transit (Excluding GO rail)
5166,3,615,Transit (Excluding GO rail)
5166,4,17,Transit (Excluding GO rail)
5166,5,207,Transit (Excluding GO rail)
5166,7,446,Transit (Excluding GO rail)
5167,2,29,Transit (Excluding GO rail)
