Thu Apr 15 2021 21:02:30 GMT-0400 (Eastern Daylight Time) - Run Time: 2260ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : income

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld      income      total
        5007           2         15
        5012           7         62
        5020           6         20
        5032           3        149
        5032           5        149
        5040           6         87
        5041           7         30
        5044           6        185
        5044           7         85
        5045           2         85
        5045           6         25
        5046           2        383
        5046           4        221
        5046           5        142
        5046           7        135
        5047           6        126
        5050           2        142
        5050           3        140
        5050           4        174
        5050           6         79
        5050           7        451
        5051           2        144
        5051           6        101
        5051           7         99
        5052           3         44
        5052           7        274
        5053           4         64
        5053           5         69
        5054           6        128
        5056           2         82
        5056           4        321
        5056           7         92
        5057           1        266
        5057           2        125
        5057           3        193
        5057           4         46
        5057           5         44
        5058           3         41
        5058           5         37
        5059           4        224
        5059           7         31
        5060           2        122
        5061           6         73
        5063           4         39
        5063           7        340
        5066           1         29
        5066           2        187
        5066           3        143
        5066           4        135
        5066           5        259
        5066           6        113
        5067           4         53
        5068           2        163
        5068           5        109
        5068           6        148
        5068           7        132
        5069           2        302
        5069           3        247
        5069           4         50
        5069           7         30
        5071           4        129
        5071           6         70
        5071           7         25
        5073           6         31
        5074           2        122
        5074           3         73
        5074           4        103
        5074           5         53
        5074           7         51
        5075           2         91
        5075           3        153
        5075           4        238
        5075           5        360
        5076           6         19
        5077           5         28
        5077           6         54
        5079           4         76
        5080           4         41
        5081           7         95
        5082           1        154
        5082           2        295
        5082           4        210
        5082           5         65
        5082           6         67
        5082           7        144
        5084           1         75
        5084           3         88
        5084           4        141
        5084           5        175
        5084           6        294
        5086           3        106
        5086           4         45
        5086           7         63
        5087           1        114
        5087           5         56
        5089           2         73
        5089           3        141
        5090           3         20
        5090           6        146
        5091           2        181
        5091           6        214
        5091           7         52
        5092           1         49
        5092           3         74
        5092           4         33
        5092           6         96
        5093           1         54
        5093           2         12
        5093           5         25
        5094           2         53
        5094           4         59
        5094           6        339
        5095           1        111
        5095           2        628
        5095           3        309
        5095           4         18
        5096           4         41
        5096           5        102
        5096           6         48
        5097           1        259
        5097           3        140
        5098           2        349
        5098           5        194
        5098           6         53
        5099           2         51
        5099           7        143
