"","OBJECTID","los","timing","threshold","geometry"
"1",1,0.0009639980410915,"Pre-covid","30 min",c(-79.86679, 43.258883)
"2",2,0.00101229289768849,"Pre-covid","30 min",c(-79.864945, 43.257588)
"3",3,0.0012598205568914,"Pre-covid","30 min",c(-79.898816, 43.224036)
"4",4,0.00115454825808347,"Pre-covid","30 min",c(-79.7724998, 43.2220279)
"5",5,0.000575072974363328,"Pre-covid","30 min",c(-79.8383288, 43.1289788)
"6",6,0.00115956607937751,"Pre-covid","30 min",c(-79.860673, 43.271051)
"7",7,0.00123030278716584,"Pre-covid","30 min",c(-79.781034, 43.240017)
"8",8,0.00126782695347782,"Pre-covid","30 min",c(-79.843121, 43.264782)
"9",9,0.00126156519934786,"Pre-covid","30 min",c(-79.900745, 43.339383)
"10",10,0.00100581976355201,"Pre-covid","30 min",c(-79.81909, 43.243322)
"11",11,0.00141454646819579,"Pre-covid","30 min",c(-79.893801, 43.336274)
"12",12,0.000963720733243626,"Pre-covid","30 min",c(-79.870527, 43.255889)
"13",13,0.000981062851707008,"Pre-covid","30 min",c(-79.856472, 43.252678)
"14",14,0.00101229289768849,"Pre-covid","30 min",c(-79.864945, 43.257588)
"15",15,0.00125098310493643,"Pre-covid","30 min",c(-79.977821, 43.22681)
"16",16,0.00116659587846121,"Pre-covid","30 min",c(-79.911735, 43.231775)
"17",17,0.000573323728514159,"Pre-covid","30 min",c(-80.104706, 43.200983)
"18",18,0.00105226984505823,"Pre-covid","30 min",c(-79.875168, 43.26453)
"19",19,0.0009639980410915,"Pre-covid","30 min",c(-79.86679, 43.258883)
"20",20,0.0012598205568914,"Pre-covid","30 min",c(-79.898816, 43.224036)
"21",21,0.00099301535602189,"Pre-covid","30 min",c(-79.858971, 43.25231)
"22",22,0.000982717894501488,"Pre-covid","30 min",c(-79.845326, 43.249419)
"23",23,0.00107047445008575,"Pre-covid","30 min",c(-79.845343, 43.257636)
"24",24,0.0010145642313606,"Pre-covid","30 min",c(-79.860208, 43.25927)
"25",25,0.00126884657901644,"Pre-covid","30 min",c(-79.8957598, 43.2077215)
"26",26,0.00103534925857115,"Pre-covid","30 min",c(-79.8068485, 43.231049)
"27",27,0.00126185755104249,"Pre-covid","30 min",c(-79.904702, 43.338006)
"28",28,0.000990024570478635,"Pre-covid","30 min",c(-79.818234, 43.242437)
"29",29,0.00122905724528827,"Pre-covid","30 min",c(-79.976727, 43.225224)
"30",30,0.00116546398959911,"Pre-covid","30 min",c(-79.9523719, 43.2658393)
"31",31,0.000963126917192735,"Pre-covid","30 min",c(-79.8719801, 43.2536445)
"32",32,0.001538003718797,"Pre-covid","30 min",c(-79.960556, 43.266825)
"33",33,0.000990506389010202,"Pre-covid","30 min",c(-79.8724734, 43.2604869)
"34",34,0.00115956607937751,"Pre-covid","30 min",c(-79.860673, 43.271051)
"35",35,0.0011729432342634,"Pre-covid","30 min",c(-79.885424, 43.228533)
"36",36,0.000997474836503936,"Pre-covid","30 min",c(-79.849517, 43.252412)
"37",37,0.00125102354074877,"Pre-covid","30 min",c(-79.8967932, 43.3377658)
"38",38,0.00103709410685586,"Pre-covid","30 min",c(-79.818323, 43.245227)
"39",39,0.000568678507750313,"Pre-covid","30 min",c(-79.742425, 43.137289)
"40",40,0.00107047445008575,"Pre-covid","30 min",c(-79.845343, 43.257636)
"41",41,0.000941868832092341,"Pre-covid","30 min",c(-79.8652289, 43.2541738)
"42",42,0.00123030278716584,"Pre-covid","30 min",c(-79.781034, 43.240017)
"43",43,0.000686359349990362,"Pre-covid","30 min",c(NA, NA)
"44",44,0.0009639980410915,"Pre-covid","30 min",c(-79.86679, 43.258883)
"45",45,0.00132848614272104,"Pre-covid","30 min",c(-79.7561471, 43.247884)
"46",46,0.000982717894501488,"Pre-covid","30 min",c(-79.845326, 43.249419)
"47",47,0.00102917086787602,"Pre-covid","30 min",c(-79.863441, 43.243623)
"48",48,0.0012598205568914,"Pre-covid","30 min",c(-79.898816, 43.224036)
"49",49,0.000997474836503936,"Pre-covid","30 min",c(-79.849517, 43.252412)
"50",50,0.00101229289768849,"Pre-covid","30 min",c(-79.864945, 43.257588)
"51",51,0.0009639980410915,"Pre-covid","30 min",c(-79.86679, 43.258883)
"52",52,0.00103049916678501,"Pre-covid","30 min",c(-79.862671, 43.259099)
"53",53,0.00101729720380062,"Pre-covid","30 min",c(-79.850523, 43.26048)
"54",54,0.0012598205568914,"Pre-covid","30 min",c(-79.898816, 43.224036)
"55",55,0.000989503302385171,"Pre-covid","30 min",c(-79.871956, 43.259919)
"56",56,0.00115905117451341,"Pre-covid","30 min",c(-79.885721, 43.229049)
"57",57,0.00106544671786406,"Pre-covid","30 min",c(-79.842275, 43.258308)
"58",58,0.000971202064087612,"Pre-covid","30 min",c(-79.8589426, 43.2532644)
"59",70,0.000963720733243626,"Pre-covid","30 min",c(-79.870527, 43.255889)
"60",1,0.000740584247883012,"During covid","30 min",c(-79.86679, 43.258883)
"61",2,0.000777192395775865,"During covid","30 min",c(-79.864945, 43.257588)
"62",5,0.000432821830080092,"During covid","30 min",c(-79.8383288, 43.1289788)
"63",10,0.000766522628392782,"During covid","30 min",c(-79.81909, 43.243322)
"64",11,0.00104679057084001,"During covid","30 min",c(-79.893801, 43.336274)
"65",13,0.000752050169147136,"During covid","30 min",c(-79.856472, 43.252678)
"66",14,0.000777192395775865,"During covid","30 min",c(-79.864945, 43.257588)
"67",16,0.000862044168933894,"During covid","30 min",c(-79.911735, 43.231775)
"68",17,0.000431512392424271,"During covid","30 min",c(-80.104706, 43.200983)
"69",18,0.000804246002491477,"During covid","30 min",c(-79.875168, 43.26453)
"70",19,0.000740584247883012,"During covid","30 min",c(-79.86679, 43.258883)
"71",20,0.000918779352891708,"During covid","30 min",c(-79.898816, 43.224036)
"72",21,0.000762014377857678,"During covid","30 min",c(-79.858971, 43.25231)
"73",22,0.000753875013826913,"During covid","30 min",c(-79.845326, 43.249419)
"74",23,0.000819384290411644,"During covid","30 min",c(-79.845343, 43.257636)
"75",24,0.000777996193231362,"During covid","30 min",c(-79.860208, 43.25927)
"76",25,0.000934728129545981,"During covid","30 min",c(-79.8957598, 43.2077215)
"77",26,0.000779089728731626,"During covid","30 min",c(-79.8068485, 43.231049)
"78",27,0.000934745905879483,"During covid","30 min",c(-79.904702, 43.338006)
"79",28,0.000753489584112816,"During covid","30 min",c(-79.818234, 43.242437)
"80",29,0.000910339720665574,"During covid","30 min",c(-79.976727, 43.225224)
"81",30,0.000872787415579327,"During covid","30 min",c(-79.9523719, 43.2658393)
"82",31,0.000737382035481139,"During covid","30 min",c(-79.8719801, 43.2536445)
"83",32,0.00115717622759915,"During covid","30 min",c(-79.960556, 43.266825)
"84",33,0.000759860961027377,"During covid","30 min",c(-79.8724734, 43.2604869)
